source.level,source.message,dataset,timestamp,$workers.truncated,$workers.event.cron,$workers.event.scheduledTime,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.scriptVersion.id,$workers.executionModel,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.level,$metadata.error,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now,links
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T06:33:21.304Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,571HGJGB55P98KXI,01KKX7ZF7C30VR2RZTRPVSAQ1K,571HGJGB55P98KXI,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T06:13:11.488Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,XTR344XSHHACPX8W,01KKX6THP0084FGC4Z6ZBD6GN9,XTR344XSHHACPX8W,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T05:59:14.164Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,VKNB07O2HD9275S9,01KKX6102AA5PABVPKNY52E8FS,VKNB07O2HD9275S9,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T05:57:23.761Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,VJD3WM2MQWC29A5E,01KKX5XM5H9P0R60GZMTRTR30V,VJD3WM2MQWC29A5E,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T05:55:33.319Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,JJRRH3U169X100HY,01KKX5T8CX3RRQS0EZTZGHP3N9,JJRRH3U169X100HY,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T05:53:42.923Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,GYZU45SUR2P7L1VD,01KKX5PWGB48DK8T1SRSKB6Q4P,GYZU45SUR2P7L1VD,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T05:33:22.852Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,98162ZUGG2WWBQ91,01KKX4HNVJVCAK6WVVZQ469P9W,98162ZUGG2WWBQ91,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T05:13:08.088Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,P0NO2EK0Y8N96BU0,01KKX3CKM2SFC803D1JX1E263K,P0NO2EK0Y8N96BU0,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T04:54:57.959Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,LEG2CURTQXHCWWKW,01KKX2BA81WDFQ6H470NNXAZF3,LEG2CURTQXHCWWKW,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T04:53:07.412Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,3M040N0F7S59G6GH,01KKX27Y6MCVH7DD7T52CP4YQJ,3M040N0F7S59G6GH,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T04:39:33.662Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,NJTDVOHZ5O0RTB15,01KKX1F3GYTTNKJM0CCMR4Y4Q6,NJTDVOHZ5O0RTB15,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T04:37:43.289Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,Y1BYCYMDGXZPRM62,01KKX1BQQSQS6FXE32AY620J08,Y1BYCYMDGXZPRM62,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,,undefined,undefined,undefined,[]
